,"Sl.
No.",Item Description,Quantity,Units
53,20.12,"Development by Air compressor including erection of
Air compressor unit and dismantling after work as per
specification.",80.00,Hrs.
54,20.13,Supply & lowering of Tubewell assembly.,,
55,20.14,"Development by O.P unit to get sand free discharge of
950 LPM including erection of O.P. Unit and
dismantling after work as per specification.",80.00,Hrs.
56,20.15,Geohydrological survey of site,2.00,Jobs.
57,21,"S.I.T.C. of Submersible Pumping Plant with
Accessories for Proposed Tubewell Zone-1
(Bamanpuri)",,
58,21.01,"Supply of Submersible pump and motor set: 1000
L.P.M. discharge at 60 mts. NEH.",1.00,Set.
59,21.02,"Supply of Submersible pump and motor set: 1000
L.P.M. discharge at 60 mts. NEH. as spare.",1.00,Set.
60,21.03,"Supply of Control panel cum ATS starer complete
with accessories suitable for 25 HP",1.00,Set
61,21.04,"Supply of Main piping and valves as per
specification and site Requirment",1.00,Sets
62,21.05,"Supply of of 16 sq.mm. 3 core Copper conductor
P.V.C. insulated submersible cable",130.00,Mts.
63,21.06,"Supply of 63 KVA automatic voltage regulator
(compact) servo controlled stabilizer with accessories
as per specification and site Requirment",1.00,Set
64,21.07,"Supply of chain pulley 3 tonne capacity with 4.5mt.lift
.",1.00,Set
65,21.08,"Supplyl of Electronic type liquid chlorine dosing
system",1.00,Nos.
66,21.09,Supply of Chlorine Testing Kit,1.00,Nos.
67,21.1,Supply of Liquid Chlorine (50 Kg Cane),1730.00,Kg.
68,21.11,Supply of Gauges as per specification,1.00,Sets.
69,21.12,"Supply of Earthing materials as per specification and
site Requirment",1.00,Jobs.
70,21.13,"Supply of Rubber Insulation sheet 1mt. x 2mt.x 0.025
mtr.",1.00,Nos.
71,21.14,Supply of 100 Amp. TPN Main Switch,1.00,Nos.
72,21.15,Tools and Spanners –,1.00,Set
73,21.16,"Installation, commissioning and Testing of all
pumping plant & Accessoriees complete",1.00,Job
74,21.17,"Internal & External Electrification of pump house for
Proposed Tubewell",1.00,Work
75,21.18,"1 Month trial running and 5 months maintenance
including watch & ward.",1.00,Job
76,22,"S.I.T.C. of Submersible Pumping Plant with
Accessories for Proposed Tubewell Zone-2 (Choona
Batta Area)",,
77,22.01,"Supply of Submersible pump and motor set: 1200
L.P.M. discharge at 60 mts. NEH.",1.00,Set.
78,22.02,"Supply of Submersible pump and motor set: 1200
L.P.M. discharge at 60 mts. NEH. as spare.",1.00,Set.
79,22.03,"Supply of Control panel cum ATS starer complete
with accessories suitable for 30 HP",1.00,Set
80,22.04,"Supply of Main piping and valves as per
specification and site Requirment",1.00,Sets
81,22.05,"Supply of of 16 sq.mm. 3 core Copper conductor
P.V.C. insulated submersible cable",130.00,Mts.
82,22.06,"Supply of 63 KVA automatic voltage regulator
(compact) servo controlled stabilizer with accessories
as per specification and site Requirment",1.00,Set
83,22.07,"Supply of chain pulley 3 tonne capacity with 4.5mt.lift
.",1.00,Set
84,22.08,"Supplyl of Electronic type liquid chlorine dosing
system",1.00,Nos.
85,22.09,Supply of Chlorine Testing Kit,1.00,Nos.
86,22.1,Supplyl of Liquid Chlorine (50 Kg Cane),2070.00,Kg.
87,22.11,Supply of Gauges as per specification,1.00,Sets.
88,22.12,"Supply of Earthing materials as per specification and
site Requirment",1.00,Jobs.
89,22.13,"Supply of Rubber Insulation sheet 1mt. x 2mt.x 0.025
mtr.",1.00,Nos.
90,22.14,Supply of 100 Amp. TPN Main Switch,1.00,Nos.
91,22.15,Tools and Spanners –,1.00,Set
92,22.16,"Installation, commissioning and Testing of all
pumping plant & Accessories complete",1.00,Job
93,22.17,"Internal & External Electrification of pump house for
Proposed Tubewell",1.00,work
94,22.18,"1 Month trial running and 5 months maintenance
including watch & ward.",1.00,Job
95,23,"Web based Intelligent Remote Terminal Units (IRTU) with
Analog and Digital parameters and features as specified to
store and transmit data on GSM backbone to LMS. And
also compatible to communication for one pumps.",2.00,Set
96,24,"Web Based wireless communication system capable to
transfer data from remote sites control station with antenna.",2.00,No.
97,25,Intelligent Energy Meter.,2.00,No.
98,26,Valve actuator size 150 mm.,4.00,Nos.
99,27,Actuator panel,4.00,Nos.
100,28,Isolation transformer,2.00,No.
101,29,Auto Phase Reversible Unit (0-40 HP),2.00,No.
102,30,Level Transmitter (0-5 Mtr. Sensing Range),2.00,No
103,31,Cables,,
104,31.01,(i) 2 Core 1.5sq.mm.,200.00,M
105,31.02,(ii) 4 Core 2.5 sq.mm.,80.00,M
106,31.03,(iii) 10 Core 1.5 sq.mm.,60.00,M
107,32,PVC conduit Pipe.,,
108,32.01,(i) 1.5”,20.00,M
109,32.02,(ii) 1”,20.00,M
110,33,"AC& DC, Relay lugs etc.",2.00,Lot
111,34,"Electromagnetic Insertion type Water Meters for line sizes
150mm",2.00,No.
112,35,"Installation, Testing, commissioning & customization of
iRTU/PLC & software integration with SCADA station of
following.",2.00,Job
113,Total in Figures,,,
114,Quoted Rate in Words,,INR Zero Only,
